t (s);V (mV);;lnV0;t (s);lnV - lnV0;;t^2(s);ln(V/V0)^2;t*ln();;Dx;0
0;13,0887;;2,571749263;0;6,907755279;;0;47,71708299;0;;Dy;
0,999;13,023;;;0,999;6,902723041;;0,998001;47,64758539;6,895820318;;Rxy;
2;12,9548;;;2;6,897472392;;4;47,5751254;13,79494478;;a;
3;12,8875;;;3;6,892263866;;9;47,5033012;20,6767916;;b;
4;12,8195;;;4;6,886973466;;16;47,43040352;27,54789386;;da;
4,999;12,7519;;;4,999;6,881686297;;24,990001;47,35760628;34,4015498;;db;
6;12,6843;;;6;6,876371025;;36;47,28447847;41,25822615;;Ea;
7;12,6166;;;7;6,871019424;;49;47,21090792;48,09713597;;Eb;
8;12,5503;;;8;6,865750586;;64;47,13853111;54,92600469;;;
9;12,4844;;;9;6,860485881;;81;47,06626653;61,74437293;;;
9,999;12,4192;;;9,999;6,855249679;;99,980001;46,99444816;68,54564154;;;
11;12,3524;;;11;6,849856393;;121;46,9205326;75,34842032;;;
12;12,2854;;;12;6,844417582;;144;46,84605204;82,13301098;;;
13;12,2205;;;13;6,839120886;;169;46,77357449;88,90857152;;;
13,999;12,1564;;;13,999;6,833861797;;195,972001;46,70166705;95,66723129;;;
14,999;12,0916;;;14,999;6,828517013;;224,970001;46,6286446;102,4209267;;;
16;12,0268;;;16;6,823143509;;256;46,55528735;109,1702962;;;
16,999;11,9635;;;16,999;6,817866364;;288,966001;46,48330176;115,8969103;;;
18;11,8993;;;18;6,812485591;;324;46,40995993;122,6247406;;;
19;11,8348;;;19;6,80705036;;361;46,33593461;129,3339568;;;
19,999;11,7728;;;19,999;6,801797802;;399,960001;46,26445334;136,0291542;;;
20,999;11,7108;;;20,999;6,796517509;;440,958001;46,19265026;142,7200712;;;
22;11,6472;;;22;6,791071824;;484;46,11865652;149,4035801;;;
22,999;11,5867;;;22,999;6,785863905;;528,954001;46,04794894;156,068084;;;
23,999;11,5243;;;23,999;6,780463866;;575,952001;45,97469024;162,7243523;;;
25;11,462;;;25;6,775043233;;625;45,9012108;169,3760808;;;
26;11,4008;;;26;6,769689545;;676;45,82869653;176,0119282;;;
27;11,3399;;;27;6,764333496;;729;45,75620765;182,6370044;;;
27,999;11,2809;;;27,999;6,759117047;;783,944001;45,68566325;189,2485182;;;
28,999;11,2203;;;28,999;6,753730654;;840,942001;45,61287775;195,8514352;;;
30;11,1611;;;30;6,748440535;;900;45,54144965;202,453216;;;
31;11,1007;;;31;6,743014186;;961;45,46824031;209,0334398;;;
32;11,0419;;;32;6,737703144;;1024;45,39664366;215,6065006;;;
32,999;10,984;;;32,999;6,732445685;;1088,934001;45,3258249;222,1639752;;;
34;10,925;;;34;6,727059757;;1156;45,25333298;228,7200318;;;
34,999;10,8666;;;34,999;6,721699881;;1224,930001;45,18124929;235,2527741;;;
35,999;10,8093;;;35,999;6,716412891;;1295,928001;45,11020212;241,7841477;;;
36,999;10,7512;;;36,999;6,711023393;;1368,926001;45,03783498;248,3011545;;;
37,999;10,6938;;;37,999;6,705670151;;1443,924001;44,96601217;254,8087601;;;
39;10,6351;;;39;6,700165868;;1521;44,89222266;261,3064689;;;
39,999;10,5794;;;39,999;6,69491473;;1599,920001;44,82188325;267,7898943;;;
40,998;10,524;;;40,998;6,68966438;;1680,836004;44,75160951;274,2628602;;;
41,998;10,4671;;;41,998;6,684243021;;1763,832004;44,67910477;280,7248384;;;
42,998;10,4107;;;42,998;6,67884014;;1848,828004;44,60690561;287,1767683;;;
43,999;10,3537;;;43,999;6,67334996;;1935,912001;44,53359969;293,6207249;;;
44,998;10,2983;;;44,998;6,66798485;;2024,820004;44,46202195;300,0459823;;;
45,999;10,2428;;;45,999;6,662581036;;2115,908001;44,38998606;306,4720651;;;
46,998;10,1881;;;46,998;6,657226389;;2208,812004;44,31866319;312,8763258;;;
47,998;10,1337;;;47,998;6,65187252;;2303,808004;44,24740802;319,2765772;;;
48,999;10,0787;;;48,999;6,646430303;;2400,902001;44,17503577;325,6684384;;;
49,999;10,0241;;;49,999;6,64099821;;2499,900001;44,10285723;332,0432695;;;
51;9,9706;;;51;6,635646779;;2601;44,03180818;338,4179857;;;
51,999;9,9172;;;51,999;6,63027664;;2703,896001;43,96056832;344,767755;;;
52,999;9,8642;;;52,999;6,624918058;;2808,894001;43,88953927;351,1140321;;;
54;9,8117;;;54;6,619581568;;2916;43,81886013;357,4574046;;;
55;9,7597;;;55;6,614267679;;3025;43,74853693;363,7847223;;;
55,999;9,7075;;;55,999;6,608904799;;3135,888001;43,67762264;370,0920598;;;
57;9,6575;;;57;6,603740832;;3249;43,60939298;376,4132274;;;
58;9,6057;;;58;6,598362689;;3364;43,53839017;382,7050359;;;
58,999;9,5546;;;58,999;6,59302873;;3480,882001;43,46802784;388,9821021;;;
60;9,5053;;;60;6,587855554;;3600;43,3998408;395,2713333;;;
61;9,455;;;61;6,582549719;;3721;43,3299608;401,5355328;;;
62;9,4052;;;62;6,577268744;;3844;43,26046413;407,7906621;;;
62,999;9,3549;;;62,999;6,571906287;;3968,874001;43,18995224;414,0235242;;;
64;9,3074;;;64;6,566815799;;4096;43,12306974;420,2762111;;;
65;9,2579;;;65;6,561483258;;4225;43,05306254;426,4964117;;;
66;9,2088;;;66;6,556165565;;4356;42,98330692;432,7069273;;;
66,999;9,1593;;;66,999;6,550775773;;4488,866001;42,91266323;438,895426;;;
68;9,1125;;;68;6,545653114;;4624;42,84557469;445,1044117;;;
69;9,0642;;;69;6,540338605;;4761;42,77602907;451,2833638;;;
70;9,0157;;;70;6,534973518;;4900;42,70587889;457,4481463;;;
70,999;8,9679;;;70,999;6,529657551;;5040,858001;42,63642774;463,5991565;;;
71,999;8,9209;;;71,999;6,524402855;;5183,856001;42,56783261;469,7504811;;;
72,999;8,8738;;;72,999;6,519109131;;5328,854001;42,49878387;475,8884475;;;
73,999;8,8269;;;73,999;6,513809894;;5475,852001;42,42971933;482,0154183;;;
75;8,7816;;;75;6,50866464;;5625;42,36271539;488,149848;;;
76;8,7355;;;76;6,503401199;;5776;42,29422716;494,2584912;;;
76,999;8,6878;;;76,999;6,497925759;;5928,846001;42,22303917;500,3337855;;;
78;8,6427;;;78;6,49272105;;6084;42,15542664;506,4322419;;;
79;8,5968;;;79;6,487396057;;6241;42,08630761;512,5042885;;;
79,999;8,5506;;;79,999;6,482007472;;6399,840001;42,01642087;518,5541158;;;
81;8,5043;;;81;6,476577934;;6561;41,94606174;524,6028127;;;
81,999;8,4587;;;81,999;6,471201514;;6723,836001;41,87644903;530,6320529;;;
82,999;8,414;;;82,999;6,465903002;;6888,834001;41,80790163;536,6634832;;;
84;8,3678;;;84;6,460397023;;7056;41,73672969;542,6733499;;;
84,999;8,3234;;;84,999;6,455076842;;7224,830001;41,66801703;548,6750765;;;
86;8,2768;;;86;6,449462437;;7396;41,59556572;554,6537696;;;
87;8,2324;;;87;6,444083605;;7569;41,5262135;560,6352736;;;
87,999;8,1881;;;87,999;6,438687897;;7743,824001;41,45670184;566,5980963;;;
89;8,1435;;;89;6,433226079;;7921;41,38639779;572,5571211;;;
89,999;8,0997;;;89,999;6,42783304;;8099,820001;41,3170376;578,4985458;;;
90,999;8,0554;;;90,999;6,42234869;;8280,818001;41,2465627;584,4273085;;;
92;8,0106;;;92;6,416771681;;8464;41,17495881;590,3429947;;;
92,999;7,9676;;;92,999;6,411389335;;8648,814001;41,1059132;596,2527967;;;
93,999;7,9249;;;93,999;6,406015718;;8835,812001;41,03703738;602,1590715;;;
95;7,8799;;;95;6,40032123;;9025;40,96411185;608,0305168;;;
95,999;7,8376;;;95,999;6,394938681;;9215,808001;40,89524074;613,9077185;;;
96,999;7,7949;;;96,999;6,38947569;;9408,806001;40,82539959;619,7727525;;;
98;7,753;;;98;6,384085882;;9604;40,75655254;625,6404164;;;
99;7,7097;;;99;6,378485293;;9801;40,68507463;631,470044;;;
100;7,668;;;100;6,373061842;;10000;40,61591724;637,3061842;;;
100,999;7,6281;;;100,999;6,367844814;;10200,798;40,54944757;643,1459583;;;
102;7,586;;;102;6,36231046;;10404;40,47899439;648,9556669;;;
103;7,5436;;;103;6,356705538;;10609;40,4077053;654,7406704;;;
103,999;7,5036;;;103,999;6,351388922;;10815,792;40,34014124;660,5380965;;;
105;7,4618;;;105;6,345802688;;11025;40,26921176;666,3092823;;;
