t (s);V (mV)
0;18,186
1,051;18,1577
2,101;18,1523
3,108;18,1264
4,108;18,106
5,109;18,0835
6,108;18,0637
7,109;18,0408
8,109;18,019
9,109;17,9977
10,109;17,9745
11,108;17,9529
12,108;17,9295
13,109;17,9076
14,108;17,8849
15,108;17,8614
16,109;17,8374
17,108;17,8155
18,109;17,7928
19,109;17,7718
20,108;17,7465
21,109;17,7251
22,109;17,7032
23,109;17,7349
24,108;17,6924
25,109;17,6707
26,109;17,6405
27,109;17,6154
28,108;17,5889
29,109;17,567
30,108;17,5426
31,109;17,5211
32,108;17,4984
33,108;17,475
34,109;17,4531
35,109;17,4321
36,109;17,4092
37,108;17,3849
38,109;17,3645
39,109;17,3428
40,108;17,3191
41,109;17,2989
42,109;17,2764
43,108;17,2527
44,109;17,2317
45,109;17,2102
46,109;17,1886
47,109;17,1659
48,108;17,1443
49,108;17,122
50,109;17,1447
51,108;17,1017
52,108;17,0762
53,108;17,0529
54,108;17,0294
55,108;17,0077
56,109;16,9846
57,109;16,9612
58,108;16,9408
59,108;16,917
60,108;16,8943
61,109;16,8712
62,108;16,85
63,109;16,8281
64,109;16,8057
65,109;16,7836
66,108;16,7637
67,108;16,7412
68,109;16,7184
69,108;16,6996
70,109;16,6784
71,108;16,6579
72,109;16,6354
73,109;16,6141
74,109;16,5932
75,108;16,5722
76,109;16,5504
77,108;16,5304
78,109;16,5065
79,108;16,4771
80,108;16,4569
81,109;16,4328
82,108;16,4135
83,109;16,3924
84,108;16,3733
85,108;16,3526
86,108;16,3316
87,109;16,3112
88,108;16,2919
89,108;16,2718
90,108;16,2496
91,109;16,2288
92,108;16,2125
93,108;16,1921
94,109;16,1709
95,109;16,1466
96,109;16,1258
97,108;16,1055
98,108;16,0862
99,108;16,0648
100,109;16,0414
101,109;16,0207
102,108;16,0005
103,108;15,9814
104,108;15,9826
105,108;15,9585
106,108;15,9348
107,108;15,9156
108,109;15,8912
109,109;15,8738
110,108;15,8515
111,108;15,8323
112,109;15,8148
113,109;15,8225
114,108;15,7837
115,108;15,769
116,108;15,7507
117,109;15,7335
118,109;15,7168
119,109;15,6977
120,109;15,68
121,109;15,6671
122,109;15,6414
123,109;15,6225
124,108;15,6065
125,108;15,5918
126,109;15,5778
127,108;15,56
128,109;15,5438
129,108;15,5253
130,109;15,5086
131,109;15,492
132,109;15,4743
133,109;15,457
134,109;15,438
135,109;15,4199
136,108;15,4012
137,109;15,3819
138,109;15,363
139,109;15,344
140,109;15,3393
141,108;15,3196
142,109;15,3012
143,109;15,2837
144,108;15,2648
145,109;15,2457
146,108;15,2262
147,109;15,2075
148,109;15,1889
149,109;15,1699
150,109;15,151
151,109;15,133
152,109;15,1149
153,109;15,096
154,109;15,0766
155,109;15,0594
156,108;15,0399
157,108;15,0214
158,109;15,0036
159,109;14,9856
160,108;14,9662
161,109;14,9489
162,109;14,9317
163,108;14,9118
164,108;14,8935
165,109;14,8758
166,108;14,8568
167,108;14,8397
168,109;14,8224
169,108;14,8034
170,108;14,7855
171,109;14,7683
172,108;14,7484
173,109;14,7317
174,109;14,7146
175,108;14,6951
176,108;14,6761
177,108;14,6592
178,109;14,6424
179,109;14,6232
180,108;14,4841
181,109;14,4052
182,108;14,3894
183,109;14,3756
184,108;14,3631
185,108;14,3508
186,109;14,3366
187,108;14,3224
188,109;14,308
189,109;14,2934
190,109;14,2779
191,109;14,2635
192,108;14,2502
193,108;14,235
194,108;14,219
195,109;14,2039
196,109;14,1891
197,109;14,1742
198,109;14,1585
199,109;14,1445
200,108;14,13
201,108;14,1144
202,108;14,0998
203,109;14,0812
204,109;14,0658
205,109;14,0508
206,109;14,0357
207,109;14,0198
208,109;14,0034
209,109;13,9871
210,108;13,9736
211,108;13,9574
212,108;13,9412
213,109;13,9257
214,109;13,9094
215,109;13,8934
216,109;13,8773
217,109;13,8612
218,109;13,8452
219,108;13,8274
220,108;13,8098
221,108;13,795
222,108;13,7786
223,108;13,7621
224,109;13,747
225,109;13,7308
226,109;13,7153
227,109;13,6999
228,108;13,6826
229,108;13,6665
230,109;13,6513
231,109;13,6361
232,108;13,6198
233,109;13,605
234,108;13,5881
235,109;13,5728
236,109;13,5577
237,108;13,541
238,108;13,5268
239,109;13,5111
240,108;13,495
241,108;13,4794
242,109;13,4637
243,109;13,4483
244,108;13,433
245,109;13,4179
246,109;13,402
247,108;13,3859
248,108;13,3705
249,109;13,355
250,108;13,3393
251,109;13,3241
252,108;13,3085
253,108;13,2937
254,108;13,2775
255,108;13,263
256,108;13,2467
257,108;13,232
258,109;13,2159
259,108;13,1999
260,108;13,1845
261,108;13,1698
262,109;13,1545
263,109;13,1398
264,109;13,1242
265,108;13,1075
266,108;13,0925
267,109;13,0771
268,109;13,0626
269,108;13,0477
270,109;13,0324
271,109;13,0179
272,108;13,0008
273,108;12,9868
274,109;12,9723
275,108;12,9569
276,109;12,9416
277,108;12,9269
278,109;12,9124
279,109;12,8985
280,108;12,8818
281,109;12,8671
282,108;12,851
283,109;12,8365
284,108;12,8207
285,109;12,8059
286,108;12,7898
287,108;12,7763
288,109;12,7628
289,108;12,7469
290,109;12,7332
291,108;12,718
292,109;12,7048
293,108;12,6887
294,109;12,6748
295,108;12,6596
296,109;12,6463
297,108;12,631
298,109;12,6181
299,108;12,6032
300,108;12,5898
301,109;12,5773
302,109;12,5629
303,109;12,5494
304,109;12,5355
305,108;12,5198
306,108;12,5055
307,108;12,4916
308,108;12,4786
309,108;12,4649
310,109;12,4513
311,108;12,4359
312,109;12,4218
313,109;12,409
314,108;12,3929
315,109;12,3803
316,108;12,3643
317,108;12,4002
318,109;12,388
319,108;12,3733
320,108;12,3599
321,109;12,3464
322,108;12,3308
323,109;12,3174
324,108;12,3026
325,108;12,2894
326,109;12,2764
327,108;12,2594
328,109;12,2465
329,108;12,2312
330,109;12,2173
331,108;12,2023
332,109;12,1884
333,108;12,173
334,109;12,1601
335,108;12,1448
336,109;12,1308
337,108;12,1165
338,109;12,1031
339,108;12,089
340,109;12,0756
341,108;12,0616
342,109;12,0476
343,108;12,0339
344,109;12,0205
345,108;12,0066
346,109;11,9935
347,108;11,9802
348,109;11,9658
349,108;11,9537
350,109;11,9401
351,108;11,9276
352,108;11,9136
353,109;11,9011
354,109;11,8872
355,109;11,8732
356,108;11,862
357,108;11,8494
358,108;11,8356
359,108;11,8225
360,109;11,8088
361,109;11,7949
362,108;11,7833
363,109;11,7696
364,108;11,7571
365,109;11,7432
366,108;11,7313
367,109;11,717
368,108;11,7046
369,109;11,6909
370,109;11,6769
371,108;11,6654
372,109;11,6518
373,108;11,6394
374,109;11,6244
375,108;11,6122
376,109;11,5991
377,109;11,5858
378,109;11,5726
379,108;11,5612
380,108;11,5478
381,109;11,5345
382,108;11,5226
383,108;11,508
384,109;11,4948
385,108;11,4831
386,109;11,4691
387,109;11,4557
388,108;11,4443
389,109;11,4297
390,108;11,4177
391,109;11,4037
392,109;11,3892
393,108;11,3776
394,109;11,3638
395,109;11,3491
396,108;11,3373
397,109;11,3239
398,109;11,3102
399,109;11,2976
400,109;11,2844
401,108;11,2721
402,108;11,2589
403,108;11,2461
404,108;11,2339
405,108;11,2207
406,108;11,2076
407,108;11,1949
408,108;11,1824
409,109;11,1696
410,109;11,1569
411,108;11,1438
412,108;11,1313
413,109;11,1188
414,108;11,1063
415,108;11,0929
416,109;11,081
417,109;11,0692
418,108;11,0563
419,109;11,0448
420,109;11,0321
421,108;11,0183
422,108;11,0063
423,109;10,9941
424,108;10,9824
425,109;10,97
426,109;10,959
427,108;10,9453
428,109;10,934
429,109;10,9239
430,108;10,9111
431,109;10,9
432,108;10,887
433,109;10,877
434,108;10,8648
435,109;10,8562
436,108;10,8432
437,109;10,8339
438,108;10,8203
439,109;10,8116
440,109;10,7995
441,109;10,7895
442,108;10,7769
443,109;10,768
444,108;10,755
445,109;10,7446
446,108;10,7335
447,109;10,7227
448,108;10,7114
449,108;10,7005
450,109;10,6893
451,109;10,6775
452,109;10,6655
453,109;10,6531
454,109;10,6405
455,108;10,6276
456,108;10,6149
457,108;10,6003
458,107;10,5889
459,107;10,5759
460,108;10,5611
461,108;10,5495
462,107;10,5372
463,107;10,5244
464,108;10,5114
465,108;10,4963
466,108;10,4838
467,107;10,4729
468,107;10,4606
469,108;10,4496
470,108;10,4397
471,108;10,4296
472,107;10,4176
473,107;10,4078
474,107;10,399
475,107;10,3885
476,107;10,3785
477,107;10,3692
478,107;10,3591
479,107;10,3478
480,107;10,3386
481,107;10,3267
482,108;10,3172
483,107;10,3061
484,107;10,2959
485,107;10,2846
486,108;10,2744
487,107;10,2628
488,107;10,2514
489,108;10,2402
490,107;10,2292
491,107;10,2172
492,108;10,2051
493,108;10,1933
494,107;10,1822
495,107;10,1697
496,107;10,1578
497,108;10,1445
498,107;10,1344
499,107;10,1213
500,108;10,1085
501,107;10,0973
502,108;10,0838
503,108;10,0713
504,107;10,061
505,108;10,0483
506,107;10,0365
507,107;10,0258
508,107;10,014
509,109;9,9998
510,108;9,9891
511,109;9,9776
512,109;9,9655
513,108;9,9557
514,108;9,9436
515,109;9,9311
516,109;9,9186
517,108;9,9086
518,108;9,8962
519,109;9,883
520,109;9,8718
521,108;9,8605
522,108;9,8493
523,109;9,8379
524,109;9,8271
525,108;9,8152
526,108;9,8047
527,108;9,7942
528,109;9,7843
529,108;9,772
530,108;9,7625
531,109;9,7523
532,108;9,7408
533,109;9,7318
534,108;9,7198
535,109;9,7115
536,108;9,6981
537,109;9,6896
538,108;9,6769
539,109;9,6675
540,109;9,6583
541,108;9,6461
542,109;9,6366
543,108;9,6266
544,109;9,6169
545,108;9,6063
546,108;9,5972
547,109;9,5884
548,108;9,577
549,109;9,5685
550,108;9,5568
551,108;9,5476
552,109;9,5382
553,109;9,5283
554,109;9,5177
555,108;9,5068
556,108;9,4968
557,108;9,4868
558,108;9,4769
559,109;9,4647
560,108;9,4558
561,108;9,4452
562,108;9,4341
